sku_code,product_title,variant_title,sales_price,cost_price,description,brand,upc_code,image_url,country_origin_code,weight_grams,product_id,min_reorder_level,quantity_to_reorder,max_reorder_level,width,depth,height,dimensions_unit,tax_rate,estimated_delivery,tags,product_properties,variant_options,tariff_code,qty_on_hand,total_qty,total_stock_value
3BH,Columbia 180° Grip Flat Box Handle,3',174.0,,"The Columbia 180° Grip Flat Box Handle - 3' combines a unique rotating grip with a compact reach, making it the ultimate choice for comfortable and precise standard wall finishing.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Handle Length"": ""3'""}",,100,100,
42BH,Columbia 180° Grip Flat Box Handle,"42""",175.0,,"The Columbia 180° Grip Flat Box Handle - 42"" combines a fatigue-reducing rotating grip with a versatile mid-range length for superior control on standard walls and ceilings. Its lightweight aluminum design ensures consistent pressure and professional results with every pass.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh_02.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Handle Length"": ""42\""""}",,100,100,
4BH,Columbia 180° Grip Flat Box Handle,4',176.0,,The Columbia 180° Grip Flat Box Handle - 4' combines a unique rotating ergonomic grip with a versatile length to reduce wrist strain and maximize control on every joint.,Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh_02.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Handle Length"": ""4'""}",,100,100,
5BH,Columbia 180° Grip Flat Box Handle,5',177.0,,The Columbia 180° Grip Flat Box Handle - 5' provides the perfect reach for standard ceilings while its rotating grip eliminates wrist fatigue. This lightweight aluminum handle ensures consistent pressure and professional control on every pass.,Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh_02.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Handle Length"": ""5'""}",,100,100,
6BH,Columbia 180° Grip Flat Box Handle,6',178.0,,The Columbia 180° Grip Flat Box Handle - 6' combines an ergonomic rotating grip with an extended 6-foot reach for effortless high-ceiling finishing. Its lightweight aluminum build ensures maximum leverage and reduced wrist fatigue on every pass.,Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh_02.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Handle Length"": ""6'""}",,100,100,
2AH,Columbia Angle Head,"2""",358.0,,"The Columbia Angle Head - 2"" provides unmatched precision for bedding tape and finishing tight internal corners with a durable billet aluminum design. Achieve a perfectly feathered edge and consistent compound flow on every 90-degree joint.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Size"": ""2\""""}",,100,100,
2.5AH,Columbia Angle Head,"2.5""",421.79,,"The Columbia Angle Head - 2.5"" delivers high-precision internal corner finishing with a rugged billet aluminum body and stainless steel wings. This compact tool ensures perfectly feathered edges and consistent compound application for professional drywall results.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_2_5ah_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Size"": ""2.5\""""}",,100,100,
3AH,Columbia Angle Head,"3""",367.0,,"The Columbia Angle Head - 3"" provides professional-grade corner finishing with a durable billet aluminum body and wear-resistant stainless steel wings. Achieve perfectly feathered 90-degree internal joints with consistent compound application and long-lasting tool reliability.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Size"": ""3\""""}",,100,100,
3.5AH,Columbia Angle Head,"3.5""",454.23,,"The Columbia Angle Head - 3.5"" provides the wide coverage needed for a flawless final coat on internal corners. Its billet aluminum and stainless steel construction ensures professional durability and a perfectly feathered finish.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3_5ah_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Size"": ""3.5\""""}",,100,100,
8FBBA,Columbia Automatic Fat Boy Box,"8""",431.0,,"The Columbia 8"" Fat Boy Box combines a high-capacity mud reservoir with a precision-ground blade to deliver efficient, high-volume base coats with fewer refills.",Columbia Tools,,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_8fbba_01.webp,,,,,,,,,,in,6.875,,"Columbia, Drywall Finishing Tools",,"{""Size"": ""8\""""}",,100,100,
