category_order,category_slug,category_name,composition,slot_order,slot_id,slot_label,reference_order,source_filename,sku,product_name,brand,catalog_relationship,selection_note
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,1,automatic-taper,Automatic taper,1,tapetech_07tt_02.webp,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech EasyClean Automatic Taper,TapeTech,direct-category,Clean full-length diagonal silhouette
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,1,automatic-taper,Automatic taper,2,columbia_tools_taper_01.webp,COL-AUTOMATIC-TAPER,Columbia Automatic Taper,Columbia Tools,direct-category,High-resolution alternate brand and orientation
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,2,flat-box,Flat box,1,tapetech_ez10tt_01.webp,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean Finishing Box,TapeTech,direct-category,Whole product three-quarter view
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,2,flat-box,Flat box,2,columbia_tools_10ffba_01.webp,COL-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Box,Columbia Tools,direct-category,Authentic automatic-box alternative
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,2,flat-box,Flat box,3,platinum_pt_10fb_01.webp,PT-10FB,"Platinum Flat Finishing Box - 10""",Platinum Drywall Tools,direct-category,Platinum automatic flat finishing box match for system composition
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,2,flat-box,Flat box,4,platinum_pt_14fb_01.webp,PT-14FB,"Platinum Flat Finishing Box - 14""",Platinum Drywall Tools,direct-category,Additional Platinum flat finishing box for size/mechanism variation
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,3,corner-tool,Corner tool,1,tapetech_48xtt_01.webp,TT-CORNER-FINISHER,TapeTech Corner Finisher,TapeTech,direct-category,Recognizable three-quarter corner-finisher view
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,3,corner-tool,Corner tool,2,columbia_tools_3ah_01.webp,COL-ANGLE-HEAD,Columbia Angle Head,Columbia Tools,direct-category,Clean frontal alternative
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,3,corner-tool,Corner tool,3,platinum_pt_cf3_5_01.webp,PT-3.5CF,"Platinum Stainless Steel Corner Flusher - 3.5""",Platinum Drywall Tools,direct-category,Platinum corner finisher match for system composition
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,3,corner-tool,Corner tool,4,platinum_pt_3_0cf_01.webp,PT-3CF,"Platinum Angle Head Corner Finisher with Wheels - 3""",Platinum Drywall Tools,direct-category,Additional Platinum angle head/corner finisher system reference
1,automatic-taping-tools,Automatic Taping Tools,Automatic taper + flat box + corner tool + pump representing the complete system,4,loading-pump,Loading pump,1,tapetech_76tt_01.webp,TT-EASYCLEAN-PUMP,TapeTech EasyClean Pump,TapeTech,direct-category,Complete upright pump silhouette
