Identity Key,Canonical Brand,Canonical Identifier,Retailer Pair,Missing Retailer,Lower-Priced Retailer,Lower Price,Higher-Priced Retailer,Higher Price,Absolute Spread,Spread % vs Lowest,Absolute Spread Bucket,Relative Spread Bucket,Uses Approved Identifier Alias,All-Wall Price,All-Wall Evidence Quality,All-Wall Product Name,All-Wall Strict Identifiers,Al's Taping Tools Price,Al's Taping Tools Evidence Quality,Al's Taping Tools Product Name,Al's Taping Tools Strict Identifiers,Wall Tools Price,Wall Tools Evidence Quality,Wall Tools Product Name,Wall Tools Strict Identifiers
columbia::ffb9-7,Columbia Tools,ffb9-7,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,4.58,Al's Taping Tools,305.00,300.42,6559.39,>25.00,>25%,no,4.58,single_observation,FFB9-7 Columbia Flat Box Blade 7in #6082,ffb9-7,305.00,single_observation,"Columbia Flat Box Blade 7"" - FFB9-7",ffb9-7,,,,
columbia::ffb9-8,Columbia Tools,ffb9-8,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,4.70,Al's Taping Tools,305.00,300.30,6389.36,>25.00,>25%,no,4.70,single_observation,FFB9-8 Columbia Flat Box Blade 8in #6083,ffb9-8,305.00,single_observation,"Columbia Flat Box Blade 8"" - FFB9-8",ffb9-8,,,,
tapetech::qb0006,TapeTech,qb0006,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,10.09,Al's Taping Tools,83.38,73.29,726.36,>25.00,>25%,no,10.09,single_observation,TapeTech Axle QB0006,qb0006,83.38,single_observation,Axle - QB0006,qb0006,,,,
tapetech::059331,TapeTech,059331,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,0.99,Al's Taping Tools,5.40,4.41,445.45,1.01-5.00,>25%,no,0.99,single_observation,TapeTech 10-32 x 5/16 Hex Setscrew Cup Pt 059331,059331,5.40,single_observation,"059331 - Setscrew, 10-32x5",059331,,,,
columbia::hns14a,Columbia Tools,hns14a,All-Wall vs Wall Tools,Al's Taping Tools,Wall Tools,17.65,All-Wall,89.54,71.89,407.31,>25.00,>25%,no,89.54,single_observation,HNS14A Columbia Nail Spotter Handle Link,hns14a,,,,,17.65,single_observation,Columbia Handle Link for Hinged Nail Spotter (COLM-HNS14A),hns14a
tapetech::300040f,TapeTech,300040f,All-Wall vs Al's Taping Tools,Wall Tools,All-Wall,10.91,Al's Taping Tools,51.15,40.24,368.84,>25.00,>25%,no,10.91,single_observation,"TapeTech 12"" Flat Box 4-40 Tie Rod 300040",300040f,51.15,single_observation,"4-40 Tie Rod for 12"" - 300040",300040f,,,,
tapetech::709027,TapeTech,709027,All-Wall vs Wall Tools,Al's Taping Tools,All-Wall,1.19,Wall Tools,4.10,2.91,244.54,1.01-5.00,>25%,no,1.19,single_observation,TapeTech 3/8-16 Thin Nylock Nut 709027,709027,,,,,4.10,single_observation,TapeTech 3/8-16 THIN FLEXL (TAPE-709027),709027
tapetech::050235,TapeTech,050235,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,12.08,All-Wall,38.29,26.21,216.97,>25.00,>25%,no,38.29,single_observation,TapeTech Band 050235,050235,12.08,single_observation,Band - 050235,050235,,,,
tapetech::059227,TapeTech,059227,All-Wall vs Al's Taping Tools,Wall Tools,Al's Taping Tools,3.16,All-Wall,8.19,5.03,159.18,5.01-25.00,>25%,no,8.19,single_observation,TapeTech 10-32 Special Nut 059227,059227,3.16,single_observation,059227 - 10-32 Special Nut,059227,,,,
tapetech::804242,TapeTech,804242,Al's Taping Tools vs Wall Tools,All-Wall,Al's Taping Tools,44.30,Wall Tools,98.45,54.15,122.23,>25.00,>25%,no,,,,,44.30,single_observation,"42"" Connector Assembly - 804242",804242,98.45,single_observation,"TapeTech 42"" CONNECTOR",804242
