Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Confirmed Match,Brake Connecting Strap - 4',BH9-4,Columbia Tools,$31.00,Wall Tools,Columbia 4 ft. Brake Connecting Strap for 180 Grip Flat Box Handle (COLM-BH9-4),BH9-4,$28.90,-$2.10,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Brake Connecting Strap - 42""",BH9-42,Columbia Tools,$29.00,Wall Tools,Columbia 3.5 ft. Brake Connecting Strap for 180 Grip Flat Box Handle (COLM-BH9-42),BH9-42,$26.84,-$2.16,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Connecting Strap - 5',BH9-5,Columbia Tools,$33.00,Wall Tools,Columbia 5 ft. Brake Connecting Strap for 180 Grip Flat Box Handle (COLM-BH9-5),BH9-5,$30.96,-$2.04,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Connecting Strap - 6',BH9-6,Columbia Tools,$35.00,Wall Tools,Columbia 6 ft. Brake Connecting Strap for 180 Grip Flat Box Handle (COLM-BH9-6),BH9-6,$33.02,-$1.98,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Dog,CT16,Columbia Tools,$15.00,Wall Tools,Columbia Brake Dog (COLM-CT16),CT16,$16.16,$1.16,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Pin,HH13,Columbia Tools,$16.00,All-Wall,HH13 Columbia Hydra Handle Brake Pin #6150,HH13,$19.46,$3.46,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Piston,HH14,Columbia Tools,$17.00,Wall Tools,Columbia Brake Cylinder Piston for Hydra Reach Flat Box Handle (COLM-HH14),HH14,$17.42,$0.42,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Spring,HH12,Columbia Tools,$5.00,All-Wall,HH12 Columbia Hydra Handle Brake Spring #6149,HH12,$6.55,$1.55,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brass Connector - 1,HH17A,Columbia Tools,$5.00,All-Wall,13714,HH17A,$6.80,$1.80,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brass Connector - 2,HH17B,Columbia Tools,$5.00,All-Wall,13715,HH17B,$6.80,$1.80,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Cable,CT72,Columbia Tools,$10.00,Wall Tools,Columbia Plunger Cable (COLM-CT72),CT72,$7.77,-$2.23,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Cable Drum,CT73,Columbia Tools,$34.23,All-Wall,CT73 Columbia Taper Cable Drum #5846,CT73,$45.16,$10.93,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Cam,BH26,Columbia Tools,$21.95,All-Wall,BH26 Columbia Box Handle Cam for 180 Handle #11575,BH26,$12.38,-$9.57,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Cam Follower,BH7,Columbia Tools,$15.00,Wall Tools,Columbia Cam Follower for 180 Grip Flat Box Handle (COLM-BH7),BH7,$13.43,-$1.57,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Cap Reinforcing Tab,CT35,Columbia Tools,$4.00,All-Wall,CT35 Columbia Taper Cap Reinforcing Tab #5608,CT35,$4.58,$0.58,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Carriage Guide Rod,CT55,Columbia Tools,$12.00,All-Wall,CT55 Columbia Taper Carriage Guide Rod #5831,CT55,$15.06,$3.06,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Carriage Guide Rod Stop,CT56,Columbia Tools,$7.00,All-Wall,CT56 Columbia Taper Carriage Guide Rod Stop #5832,CT56,$9.18,$2.18,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Chain Tension & Guide Bracket,CT31,Columbia Tools,$6.00,All-Wall,CT31 Columbia Taper Chain Tension & Guide Bracke #5604,CT31,$8.23,$2.23,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Clutch Dog,CT83,Columbia Tools,$3.00,All-Wall,CT83 Columbia Taper Clutch Dog #5855,CT83,$4.70,$1.70,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Clutch Lever,CT82,Columbia Tools,$19.75,All-Wall,CT82 Columbia Taper Clutch Lever #5854,CT82,$30.12,$10.37,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Clutch Release Rod,CT88,Columbia Tools,$16.50,All-Wall,CT88 Columbia Taper Clutch Release Rod #5862,CT88,$18.10,$1.60,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Clutch Release Shaft,CT85,Columbia Tools,$40.00,All-Wall,CT85 Columbia Taper Clutch Release Shaft #5857,CT85,$45.18,$5.18,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Clutch Return Spring,CT81,Columbia Tools,$3.00,All-Wall,CT81 Columbia Taper Clutch Return Spring #5853,CT81,$3.68,$0.68,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Coiled Hydraulic Line,HH9,Columbia Tools,$40.00,All-Wall,Columbia Coiled Hydraulic Hose for COL88,HH9,$50.01,$10.01,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Collar O-Ring,HP44,Columbia Tools,$2.00,All-Wall,HP44 Columbia Mud Pump Collar O-Ring #6153,HP44,$2.35,$0.35,DTB is lower,SKU or manufacturer part number matched exactly.,100
Needs Review,Columbia 180° Grip Flat Box Handle,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia Tools,,All-Wall,"Columbia 36"" 180-Grip Bent Flat Box Handle",3BBH,$221.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,Columbia 180° Grip Flat Box Handle - 3',3BH,Columbia Tools,$189.26,All-Wall,"Columbia 36"" 180-Grip Flat Box Handle",3BH,$189.99,$0.73,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia 180° Grip Flat Box Handle - 4',4BH,Columbia Tools,$210.89,All-Wall,"Columbia 48"" 180-Grip Flat Box Handle",4BH,$210.99,$0.10,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia 180° Grip Flat Box Handle - 42""",42BH,Columbia Tools,$205.49,All-Wall,"Columbia 42"" 180-Grip Flat Box Handle",42BH,$205.99,$0.50,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia 180° Grip Flat Box Handle - 5',5BH,Columbia Tools,$221.71,All-Wall,"Columbia 60"" 180-Grip Flat Box Handle",5BH,$221.99,$0.28,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia 180° Grip Flat Box Handle - 6',6BH,Columbia Tools,$232.52,All-Wall,"Columbia 72"" 180-Grip Flat Box Handle",6BH,$232.99,$0.47,DTB is lower,SKU or manufacturer part number matched exactly.,100
Likely Match,Columbia Angle Head,COL-ANGLE-HEAD,Columbia Tools,,All-Wall,"Columbia 2"" Angle Head",2AH,$410.99,,,"Product name and brand are highly similar, but should be reviewed before automated pricing use.",100
Confirmed Match,"Columbia Angle Head - 2""",2AH,Columbia Tools,$410.97,All-Wall,"Columbia 2"" Angle Head",2AH,$410.99,$0.02,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Angle Head - 2.5""",2.5AH,Columbia Tools,$421.79,All-Wall,"Columbia 2.5"" Angle Head",2.5AH,$421.99,$0.20,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Angle Head - 3""",3AH,Columbia Tools,$443.42,All-Wall,"Columbia 3"" Angle Head",3AH,$443.99,$0.57,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Angle Head - 3.5""",3.5AH,Columbia Tools,$470.80,All-Wall,"Columbia 3.5"" Angle Head",3.5AH,$454.99,-$15.81,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Needs Review,Columbia Automatic Fat Boy Box,COL-AUTOMATIC-FAT-BOY-BOX,Columbia Tools,,Wall Tools,Columbia 10 in. Automatic Fat Boy Flat Box,10FBBA,$492.08,,,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,"Columbia Automatic Fat Boy Box - 10""",10FBBA,Columbia Tools,$492.08,All-Wall,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",10FBBA,$492.99,$0.91,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Fat Boy Box - 12""",12FBBA,Columbia Tools,$502.90,All-Wall,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",12FBBA,$502.99,$0.09,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Fat Boy Box - 8""",8FBBA,Columbia Tools,$481.27,All-Wall,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",8FBBA,$481.99,$0.72,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Flat Box - 10""",10FFBA,Columbia Tools,$427.19,All-Wall,"Columbia 10"" Automatic Assist Drywall Flat Box",10FFBA,$427.99,$0.80,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Flat Box - 12""",12FFBA,Columbia Tools,$432.60,All-Wall,"Columbia 12"" Automatic Assist Drywall Flat Box",12FFBA,$432.99,$0.39,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Flat Box - 14""",14FFBA,Columbia Tools,$438.01,All-Wall,"Columbia 14"" Automatic Assist Drywall Flat Box",14FFBA,$438.99,$0.98,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Flat Box - 8""",8FFBA,Columbia Tools,$421.79,All-Wall,"Columbia 8"" Automatic Assist Drywall Flat Box",8FFBA,$421.99,$0.20,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Automatic Taper,COL-AUTOMATIC-TAPER,Columbia Tools,,All-Wall,Columbia Automatic Taper,TAPER,"$1,649.29",,,Product names are nearly identical after brand/name cleanup.,100
Confirmed Match,"Columbia Automatic Taper - Sawed Off 39""",STAPER,Columbia Tools,"$1,715.43",All-Wall,"Columbia ""Sawed Off"" Mini Automatic Taper",STAPER,"$1,649.29",-$66.14,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Automatic Taper - Standard 53""",TAPER,Columbia Tools,"$1,715.43",All-Wall,Columbia Automatic Taper,TAPER,"$1,649.29",-$66.14,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Billet Mud Applicator - External 90,CEXT90,Columbia Tools,$127.62,All-Wall,Columbia Outside 90 Applicator Head,CEXT90,$127.99,$0.37,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Billet Mud Applicator - Flat,CFLT,Columbia Tools,$91.93,All-Wall,Columbia Flat Applicator Head,CFLT,$91.99,$0.06,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",ICA2-1,Columbia Tools,$68.13,All-Wall,Columbia Inside Corner Applicator 2 Wheels,ICA2-1,$68.99,$0.86,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",ICA4-1,Columbia Tools,$85.44,All-Wall,Columbia Inside Corner Applicator 4 Wheels,ICA4-1,$85.99,$0.55,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,ICATW,Columbia Tools,$116.80,All-Wall,Columbia Inside 90° Applicator with Wheels,ICATW,$116.99,$0.19,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Box Filler,COL-BOX-FILLER,Columbia Tools,,Al's Taping Tools,Columbia Box Filler,BF,$75.71,,,Product names are nearly identical after brand/name cleanup.,100
Confirmed Match,Columbia Box Filler - Standard,BF,Columbia Tools,$75.71,All-Wall,Columbia Box Filler Fitting,BF,$75.99,$0.28,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Box Filler - Tall Boy,TBBF,Columbia Tools,$75.71,All-Wall,Columbia Tall Boy Box Filler,TBBF,$75.99,$0.28,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Cam Lock Tube - 24""",CLT24,Columbia Tools,$270.95,All-Wall,"Columbia 24"" Cam-Lock Compound Mud Tube",CLT24,$257.99,-$12.96,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Cam Lock Tube - 32""",CLT32,Columbia Tools,$279.72,All-Wall,"Columbia 32"" Cam-Lock Compound Mud Tube",CLT32,$268.99,-$10.73,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Cam Lock Tube - 42""",CLT42,Columbia Tools,$297.33,All-Wall,"Columbia 42"" Cam-Lock Compound Mud Tube",CLT42,$280.99,-$16.34,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Cam Lock Tube - 55""",CLT55,Columbia Tools,$307.89,All-Wall,"Columbia 55"" Cam-Lock Compound Mud Tube",CLT55,$278.99,-$28.90,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Closet Monster Handle,CMH,Columbia Tools,$123.28,All-Wall,"Columbia Closet Monster 18"" Handle",CMH,$113.99,-$9.29,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Needs Review,Columbia Combo Flusher,COL-COMBO-FLUSHER,Columbia Tools,,All-Wall,"Columbia 2.5"" Combo Flusher",2.5CSF,$163.99,,,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,"Columbia Combo Flusher - 2.5""",2.5CSF,Columbia Tools,$190.27,All-Wall,"Columbia 2.5"" Combo Flusher",2.5CSF,$163.99,-$26.28,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Combo Flusher - 3""",3CSF,Columbia Tools,$196.25,All-Wall,"Columbia 3"" Combo Flusher",3CSF,$168.99,-$27.26,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Combo Flusher - 3.5""",3.5CSF,Columbia Tools,$202.25,All-Wall,"Columbia 3.5"" Combo Flusher",3.5CSF,$181.99,-$20.26,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Commando Set,SACS,Columbia Tools,"$1,157.93",Wall Tools,Columbia Semi Automatic Commando Set,SACS,"$1,157.93",$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Needs Review,Columbia Compound Tube,COL-COMPOUND-TUBE,Columbia Tools,,Wall Tools,Columbia Compound Mud Tube,CMT,$197.91,,,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,"Columbia Compound Tube - 24""",CMT24,Columbia Tools,$197.91,All-Wall,"Columbia 24"" Compound Mud Tube",CMT24,$197.99,$0.08,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Compound Tube - 32""",CMT32,Columbia Tools,$208.73,All-Wall,"Columbia 32"" Compound Mud Tube",CMT32,$208.99,$0.26,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Compound Tube - 42""",CMT42,Columbia Tools,$221.71,All-Wall,"Columbia 42"" Compound Mud Tube",CMT42,$221.99,$0.28,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Compound Tube - 55""",CMT55,Columbia Tools,$232.52,All-Wall,"Columbia 55"" Compound Mud Tube",CMT55,$232.99,$0.47,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Corner Cobra,CC,Columbia Tools,$401.00,All-Wall,Columbia Corner Cobra Adjustable Roller,CC,$368.00,-$33.00,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Corner Roller,CR,Columbia Tools,$167.63,All-Wall,Columbia Corner Roller Head Only,CR,$162.75,-$4.88,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Direct Flusher - 2.5""",2.5DF,Columbia Tools,$127.62,All-Wall,"Columbia 2.5"" Direct Corner Flusher",2.5DF,$127.99,$0.37,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Direct Flusher - 3""",3DF,Columbia Tools,$133.02,All-Wall,"Columbia 3"" Direct Corner Flusher",3DF,$130.99,-$2.03,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Direct Flusher - 3"" Widetrack",3WTDF,Columbia Tools,$140.60,All-Wall,"Columbia 3"" Widetrack Direct Corner Flusher",3WTDF,$140.99,$0.39,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Direct Flusher - 3.5""",3.5DF,Columbia Tools,$146.00,All-Wall,"Columbia 3.5"" Direct Corner Flusher",3.5DF,$146.00,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Likely Match,Columbia Fat Boy Flat Box,COL-FAT-BOY-FLAT-BOX,Columbia Tools,,All-Wall,"Columbia 10"" Fat Boy Flat Box",10FBB,$454.99,,,"Product name and brand are highly similar, but should be reviewed before automated pricing use.",100
Confirmed Match,"Columbia Fat Boy Flat Box - 10""",10FBB,Columbia Tools,$454.23,All-Wall,"Columbia 10"" Fat Boy Flat Box",10FBB,$454.99,$0.76,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Fat Boy Flat Box - 12""",12FBB,Columbia Tools,$465.05,All-Wall,"Columbia 12"" Fat Boy Flat Box",12FBB,$465.99,$0.94,DTB is lower,SKU or manufacturer part number matched exactly.,100
Needs Review,"Columbia Fat Boy Flat Box - 5.5""",5.5FBB,Columbia Tools,$384.39,All-Wall,"Columbia 8"" Fat Boy Flat Box",8FBB,$443.99,$59.60,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",94
Confirmed Match,"Columbia Fat Boy Flat Box - 8""",8FBB,Columbia Tools,$443.42,All-Wall,"Columbia 8"" Fat Boy Flat Box",8FBB,$443.99,$0.57,DTB is lower,SKU or manufacturer part number matched exactly.,100
Likely Match,Columbia Flat Finisher Box,COL-FLAT-FINISHER-BOX,Columbia Tools,,Al's Taping Tools,"Columbia 5.5"" Drywall Flat Finisher Box",5.5FFB,$367.71,,,"Product name and brand are highly similar, but should be reviewed before automated pricing use.",100
Confirmed Match,"Columbia Flat Finisher Box - 10""",10FFB,Columbia Tools,$400.16,All-Wall,"Columbia 10"" Flat Finishing Box",10FFB,$400.99,$0.83,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Flat Finisher Box - 12""",12FFB,Columbia Tools,$410.97,All-Wall,"Columbia 12"" Flat Finishing Box",12FFB,$410.99,$0.02,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Flat Finisher Box - 14""",14FFB,Columbia Tools,$421.79,All-Wall,"Columbia 14"" Flat Finishing Box",14FFB,$421.99,$0.20,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Flat Finisher Box - 5.5""",5.5FFB,Columbia Tools,$367.71,All-Wall,"Columbia 5.5"" Flat Finishing Box",5.5FFB,$367.99,$0.28,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Flat Finisher Box - 7""",7FFB,Columbia Tools,$378.53,All-Wall,"Columbia 7"" Flat Finishing Box",7FFB,$378.99,$0.46,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Flat Finisher Box - 8""",8FFB,Columbia Tools,$389.34,All-Wall,"Columbia 8"" Flat Finishing Box",8FFB,$389.99,$0.65,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Gooseneck,COL-GOOSENECK,Columbia Tools,,All-Wall,Columbia Gooseneck,GN,$108.99,,,Product names are nearly identical after brand/name cleanup.,100
Confirmed Match,Columbia Gooseneck - Standard,GN,Columbia Tools,$100.42,All-Wall,Columbia Gooseneck,GN,$108.99,$8.57,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Gooseneck - Tall Boy,TBGN,Columbia Tools,$146.00,All-Wall,Columbia Tall Boy Gooseneck,TBGN,$146.00,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Hot Mud Pump,COL-HOT-MUD-PUMP,Columbia Tools,,Al's Taping Tools,Columbia Hot Mud Pump,HMP,$410.97,,,Product names are nearly identical after brand/name cleanup.,100
Needs Review,Columbia Hot Mud Pump - CDN,HMP-C,Columbia Tools,$380.00,Al's Taping Tools,Columbia Hot Mud Pump,HMP,$410.97,$30.97,DTB is lower,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,Columbia Hot Mud Pump - Standard,HMP,Columbia Tools,$410.97,All-Wall,Columbia Loading Pump,HMP,$410.99,$0.02,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Hot Mud Pump - Tall Boy,TBMP,Columbia Tools,$540.03,All-Wall,Columbia Tall Boy Loading Pump,TBMP,$492.99,-$47.04,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Matrix Flat Box Handle,COL-MATRIX-FLAT-BOX-HANDLE,Columbia Tools,,Wall Tools,Columbia Matrix Flat Box Handle,MH,$351.49,,,Product names are nearly identical after brand/name cleanup.,100
Confirmed Match,"Columbia Matrix Flat Box Handle - 29""-39""",MHS,Columbia Tools,$375.00,All-Wall,Columbia MATRIX Extendable Short Flat Box Handle,MHS,$340.99,-$34.01,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Matrix Flat Box Handle - 40""-60""",MH,Columbia Tools,$409.00,All-Wall,Columbia MATRIX Extendable Flat Box Handle,MH,$351.99,-$57.01,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Matrix Flat Box Handle - 56""-76""",MHL,Columbia Tools,$495.00,All-Wall,Columbia MATRIX XL Extendable Flat Box Handle,MHL,$373.99,-$121.01,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Likely Match,Columbia Nail Spotter,COL-NAIL-SPOTTER,Columbia Tools,,Al's Taping Tools,"Columbia Taping Tools 2"" Nail Spotter",2NS,$297.41,,,"Product name and brand are highly similar, but should be reviewed before automated pricing use.",100
Confirmed Match,"Columbia Nail Spotter - 2""",2NS,Columbia Tools,$324.00,All-Wall,"Columbia Taping Tools 2"" Hinged Nail Spotter Head Only",2NS,$297.99,-$26.01,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Nail Spotter - 3""",3NS,Columbia Tools,$324.00,All-Wall,"Columbia Taping Tools 3"" Hinged Nail Spotter Head Only",3NS,$308.99,-$15.01,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia One Handle,COL-ONE-HANDLE,Columbia Tools,,All-Wall,Columbia ONE Handle,C1H,$64.99,,,Product names are nearly identical after brand/name cleanup.,100
Confirmed Match,Columbia One Handle - Extendable 3'-5',C1HEXT,Columbia Tools,$135.45,All-Wall,Columbia ONE Extendable Handle,C1HEXT,$135.99,$0.54,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia One Handle - Fixed,C1H,Columbia Tools,$64.89,All-Wall,Columbia ONE Handle,C1H,$64.99,$0.10,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia One Handle - Long Extendable 4'-8',CHXL,Columbia Tools,$174.49,All-Wall,Columbia Extendable Roller Handle 4'-8',CHXL,$173.99,-$0.50,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia One Handle - Stubby,C1HS,Columbia Tools,$49.44,All-Wall,Columbia One Handle Stubby C1HS,C1HS,$49.44,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia One Predator Taper,PTAPER,Columbia Tools,"$2,145.46",All-Wall,Columbia PREDATOR Carbon Fiber Automatic Taper,PTAPER,"$1,838.55",-$306.91,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Needs Review,Columbia Outside Corner Roller,COL-OUTSIDE-CORNER-ROLLER,Columbia Tools,,All-Wall,Columbia 90° Outside Bead Corner Roller,COBCR,$87.00,,,"Product appears similar, but size, variation, or naming differences need review.",100
Confirmed Match,Columbia Outside Corner Roller - Bullnose,CBNCR,Columbia Tools,$86.52,All-Wall,Columbia Outside Bullnose Corner Roller,CBNCR,$87.00,$0.48,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Outside Corner Roller - Standard,COBCR,Columbia Tools,$86.52,All-Wall,Columbia 90° Outside Bead Corner Roller,COBCR,$87.00,$0.48,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Outside Corner Roller - Wide,COBCRW,Columbia Tools,$86.52,All-Wall,Columbia Tools Wide Outside Bead Roller,COBCRW,$87.00,$0.48,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Predator Mud Pump,PHMP,Columbia Tools,$496.42,Al's Taping Tools,Columbia Predator Mud Pump,PHMP,$496.42,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Predator One Handle - 4' Fixed,PC1H,Columbia Tools,$95.79,Al's Taping Tools,Columbia Predator One Carbon Fiber Handle,PC1H,$95.79,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Predator One Handle - Extendable 3'-5',PC1HEXT,Columbia Tools,$169.70,Al's Taping Tools,Columbia Predator One Extendable Carbon Fiber Handle (3-5'),PC1HEXT,$160.27,-$9.43,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Road Case,RC,Columbia Tools,"$1,020.16",All-Wall,Columbia Road Case,RC,"$1,020.99",$0.83,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Semi Automatic Taper,SAT,Columbia Tools,$244.50,All-Wall,Columbia Semi Auto Drywall Taping Tool,SAT,$243.99,-$0.51,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Columbia Semi-Automatic Tool Case,TCS,Columbia Tools,$203.50,All-Wall,Columbia Semi-Automatic Tool Case,TCS,$210.99,$7.49,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Standard Flusher - 2.5""",2.5SF,Columbia Tools,$116.80,All-Wall,"Columbia 2.5"" Standard Corner Flusher",2.5SF,$116.99,$0.19,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Standard Flusher - 3""",3SF,Columbia Tools,$122.21,All-Wall,"Columbia 3"" Standard Corner Flusher",3SF,$122.99,$0.78,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Standard Flusher - 3"" Widetrack",3WTSF,Columbia Tools,$127.62,All-Wall,"Columbia 3"" Widetrack Standard Corner Flusher",3WTSF,$127.99,$0.37,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Columbia Standard Flusher - 3.5""",3.5SF,Columbia Tools,$133.02,All-Wall,"Columbia 3.5"" Standard Corner Flusher",3.5SF,$133.99,$0.97,DTB is lower,SKU or manufacturer part number matched exactly.,100
