Identity Key,Canonical Brand,Canonical Identifier,Priority,Retailer Pair,Missing Retailer,Spread % vs Lowest,Absolute Spread,Offer Equivalence Classification,Offer Evidence Strength,Offer Contradictions,All-Wall Observed Price,All-Wall Product Name,All-Wall Category,All-Wall Description Quality,All-Wall Explicit Quantity,All-Wall Quantity Basis,All-Wall Commercial Scope,All-Wall Scope Basis,All-Wall Product URL,All-Wall Retrieved At,Al's Taping Tools Observed Price,Al's Taping Tools Product Name,Al's Taping Tools Category,Al's Taping Tools Description Quality,Al's Taping Tools Explicit Quantity,Al's Taping Tools Quantity Basis,Al's Taping Tools Commercial Scope,Al's Taping Tools Scope Basis,Al's Taping Tools Product URL,Al's Taping Tools Retrieved At,Wall Tools Observed Price,Wall Tools Product Name,Wall Tools Category,Wall Tools Description Quality,Wall Tools Explicit Quantity,Wall Tools Quantity Basis,Wall Tools Commercial Scope,Wall Tools Scope Basis,Wall Tools Product URL,Wall Tools Retrieved At
columbia::ssb12,Columbia Tools,ssb12,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,34.39,11.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,42.99,"Columbia 12"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB12,2026-09-10T00:40:23.462157Z,31.99,"Columbia Sabre Smoothing Blade 12""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-12,2026-09-10T00:10:58.515807Z,,,,,,,,,,
columbia::ssb14,Columbia Tools,ssb14,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,51.53,17.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,49.99,"Columbia 14"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB14,2026-09-10T00:40:23.462157Z,32.99,"Columbia Sabre Smoothing Blade 14""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-14,2026-09-10T00:11:00.205812Z,,,,,,,,,,
columbia::ssb16,Columbia Tools,ssb16,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,48.73,19.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,57.99,"Columbia 16"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB16,2026-09-10T00:40:23.462157Z,38.99,"Columbia Sabre Smoothing Blade 16""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-16,2026-09-10T00:10:58.834810Z,,,,,,,,,,
columbia::ssb18,Columbia Tools,ssb18,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,44.45,20.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,64.99,"Columbia 18"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB18,2026-09-10T00:40:23.462157Z,44.99,"Columbia Sabre Smoothing Blade 18""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-18,2026-09-10T00:10:59.460809Z,,,,,,,,,,
columbia::ssb24,Columbia Tools,ssb24,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,45.01,27.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,86.99,"Columbia 24"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB24,2026-09-10T00:40:23.462157Z,59.99,"Columbia Sabre Smoothing Blade 24""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-24,2026-09-10T00:10:59.147809Z,,,,,,,,,,
columbia::ssb32,Columbia Tools,ssb32,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,54.67,41.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,115.99,"Columbia 32"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB32,2026-09-10T00:40:23.462157Z,74.99,"Columbia Sabre Smoothing Blade 32""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-32,2026-09-10T00:11:01.438810Z,,,,,,,,,,
columbia::ssb40,Columbia Tools,ssb40,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,45.00,45.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,144.99,"Columbia 40"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB40,2026-09-10T00:40:23.462157Z,99.99,"Columbia Sabre Smoothing Blade 40""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-40,2026-09-10T00:11:00.822808Z,,,,,,,,,,
columbia::ssb48,Columbia Tools,ssb48,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,29.23,38.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,167.99,"Columbia 48"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB48,2026-09-10T00:40:23.461157Z,129.99,"Columbia Sabre Smoothing Blade 48""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-48,2026-09-10T00:11:00.510808Z,,,,,,,,,,
columbia::ssb7,Columbia Tools,ssb7,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,30.02,6.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:1|None | one_sided_scope:single|none,25.99,"Columbia 7"" Sabre Smoothing Blade",,product_specific,1,single_or_each,single,single_or_each,https://www.all-wall.com/Columbia-SmoothingBlade-SSB7,2026-09-10T00:40:23.461157Z,19.99,"Columbia Sabre Smoothing Blade 7""",,product_specific,,,,,https://www.alstapingtools.com/columbia-sabre-smoothing-blade-7-ssb7,2026-09-10T00:11:01.033809Z,,,,,,,,,,
surpro::ss1004,SurPro,ss1004,P0_gt_25pct,Al's Taping Tools vs Wall Tools,All-Wall,35.56,10.10,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:None|2,,,,,,,,,,,38.50,Sur-Pro Spring Kit,,product_specific,,,bundle,kit,https://www.alstapingtools.com/sur-pro-spring-kit,2026-09-10T00:19:09.098106Z,28.40,SurPro Stilt Spring Kit,,product_specific,2,pair,bundle,kit,https://walltools.com/surpro-stilt-spring-kit,2026-09-10T00:35:20.059569Z
surpro::ss1007,SurPro,ss1007,P0_gt_25pct,Al's Taping Tools vs Wall Tools,All-Wall,46.67,7.00,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:2|None,,,,,,,,,,,22.00,Sur-Stilt Plastic Sleeve Kit - SS1007,,product_specific,2,pair,bundle,kit,https://www.alstapingtools.com/sur-stilt-plastic-sleeve-kit-ss1007,2026-09-10T00:19:11.752536Z,15.00,SurPro Stilt Plastic Sleeve Kit,,product_specific,,,bundle,kit,https://walltools.com/surpro-stilt-plastic-sleeve-kit,2026-09-10T00:35:19.480565Z
surpro::ss1008,SurPro,ss1008,P0_gt_25pct,Al's Taping Tools vs Wall Tools,All-Wall,66.58,7.99,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_quantity:4|None,,,,,,,,,,,19.99,Sur-Pro Wing Bolt Kit (4 Pack),,product_specific,4,explicit_pack_count,bundle,kit,https://www.alstapingtools.com/sur-pro-wing-bolt-kit-4-pack,2026-09-10T00:19:11.327533Z,12.00,SurPro Stilt Wing Bolt Kit,,product_specific,,,bundle,kit,https://walltools.com/surpro-stilt-wing-bolt-kit,2026-09-10T00:35:20.727569Z
tapetech::ck06cstt,TapeTech,ck06cstt,P0_gt_25pct,All-Wall vs Al's Taping Tools,Wall Tools,66.30,5.96,OFFER_EQUIVALENCE_UNRESOLVED,one_sided_offer_evidence,one_sided_scope:bundle|none,8.99,"TapeTech 6"" Carbon Steel Clipped Joint Knife",,product_specific,,,bundle,set,https://www.all-wall.com/TapeTech-JointKnife-CK06CSTT,2026-09-10T00:40:48.357374Z,14.95,"TapeTech 6"" Carbon Steel Clipped Joint Knife",,product_specific,,,,,https://www.alstapingtools.com/tapetech-6-carbon-steel-clipped-joint-knife,2026-09-10T00:20:15.409827Z,,,,,,,,,,
