site_key,source,method,resource_type,status,url,content_type,content_length,same_origin,structured,platform_hint,detected_fields,json_keys,elapsed_ms
als_taping_tools,browser,GET,image,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/80w/products/680/5560/col_ffb_1__46705.1675191963.jpg?c=1,image/jpeg,1871,False,False,bigcommerce,,,
als_taping_tools,browser,GET,image,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/80w/products/680/5527/hqdefault_15_6__17714.1675191962.jpg?c=1,image/jpeg,1939,False,False,bigcommerce,,,
als_taping_tools,browser,GET,image,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/80w/products/680/5241/columbia_waranty_9__32056.1675191954.jpg?c=1,image/jpeg,2025,False,False,bigcommerce,,,
als_taping_tools,browser,GET,image,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/80w/products/680/5150/10fbb__00214.1675191952.jpg?c=1,image/jpeg,1536,False,False,bigcommerce,,,
als_taping_tools,browser,GET,image,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/640w/products/680/5150/10fbb__00214.1675191952.jpg?c=1,image/jpeg,27849,False,False,bigcommerce,,,
als_taping_tools,browser,POST,xhr,200,https://bes.gcp.data.bigcommerce.com/nobot,text/html,7,False,False,bigcommerce,,,
als_taping_tools,browser,GET,xhr,200,https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/icon-sprite.svg,image/svg+xml,267325,False,False,bigcommerce,,,
als_taping_tools,browser,POST,xhr,200,https://www.alstapingtools.com/cdn-cgi/challenge-platform/h/g/precursor/aae2b9a1c261/0.6956242871603898:1786957517:WQFgOJpQ6H0r5MtEFiwZsxGxGqAkKPjsw4TCOFu07tU/a2c7f2baacd2b98a,application/json,8,True,True,unknown,,i,
als_taping_tools,browser,GET,xhr,200,https://fast.a.klaviyo.com/custom-fonts/api/v1/company-fonts/onsite?company_id=QYJEPx,application/json,302,False,True,shopify,variants,custom|fallback|family|font_type|google|id|typekit|variant_value|variants,
als_taping_tools,browser,POST,fetch,204,https://www.google-analytics.com/g/collect?v=2&tid=G-9WQSKK8NB4&gtm=45je68c1v874547031za200zd874547031&_p=1786962048825&gcs=G100&gcd=13p3p3p3p5l1&npa=1&dma_cps=-&dma=0&gdid=dMjk3Nj&ecid=1782015161&_eu=AAAAAGAC&are=1&cid=761492394.1786962049&ec_mode=a&frm=0&pscdl=denied&rcb=4&sr=1280x720&uaa=x86&uab=64&uafvl=Chromium%3B140.0.7339.16%7CNot%253DA%253FBrand%3B24.0.0.0%7CHeadlessChrome%3B140.0.7339.16&uam=&uamb=0&uap=Windows&uapv=10.0&uaw=0&ul=en-us&gaf=2&_s=1&tag_exp=115938465~115938469~118897920~118897930~119367802~119367810~119527019~120385422&sid=1786962048&sct=1&seg=0&dl=https%3A%2F%2Fwww.alstapingtools.com%2Fcolumbia-10-fat-boy-drywall-flat-finishing-box%2F&dt=Columbia+10%22+Fat+Boy+Drywall+Flat+Finishing+Box+%7C+Columbia+%7C+Al%27s+Taping+Tools&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=4675,text/plain,0,False,False,unknown,,,
