Brand,Product Name,DTB SKU,All-Wall SKU,DTB Regular Price,DTB MAP,All-Wall Price,Match Status,All-Wall URL,Review Notes
Columbia Tools,"Columbia Combo Flusher - 3"" Widetrack",3WTCSF,,196.25,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Direct Flusher - 4""",4DF,,151.41,151.41,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Fat Boy Flat Box - 5.5""",5.5FBB,,384.39,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Hot Mud Pump - CDN,HMP-C,,380.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Outside Corner Roller - European,COBCRE,,79.06,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Predator Matrix Handle - Short 29""-39""",PMHS,,384.00,379.28,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Predator Matrix Handle - 40""-60""",PMH,,418.00,388.34,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Predator Matrix Handle - Long 56""-76""",PMHL,,503.00,433.14,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Predator One Handle - Extendable 3'-5',PC1HEXT,,169.70,160.27,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Predator One Handle - 4' Fixed,PC1H,,95.79,95.79,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Predator One Handle - Long Extendable 4'-8',PCHXL,,216.15,216.15,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"Columbia Standard Flusher - 4""",4SF,,140.60,140.60,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Semi-Automatic Tool Case,TCS,,203.50,201.88,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia UHMW Mud Applicator - Outside 90° 325,OA90-325,,91.93,91.93,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Commando Set,SACS,,1157.93,1157.93,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,CPFP,,1473.00,1249.00,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,CPFGN,,275.00,185.00,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,#10 Flat Washer,FA268,,2.25,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,#6 Flat Washer,FA228,,1.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,#6 Lock Washer,FA229,,1.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,#6 Star Washer,FA230,,1.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"1/16 X 1/2"" Cotter Pin",FA202,,1.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
Columbia Tools,"1/16 x 1/4"" Split Pin",FA200,,1.00,,,NOT_FOUND,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.
