dtb_brand,dtb_product_name,dtb_sku,dtb_mpn,dtb_regular_price,dtb_sale_price,dtb_map_price,allwall_product_name,allwall_sku,allwall_url,allwall_regular_price,allwall_sale_price,allwall_current_price,allwall_availability,match_status,match_confidence,match_method,price_vs_dtb_map,evidence_notes,checked_at
Columbia Tools,"Columbia Compound Tube - 55""",CMT55,CMT55,232.52,,232.52,"Columbia 55"" Compound Mud Tube",CMT55,https://www.all-wall.com/Columbia-55-Compound-Mud-Tube,,,232.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CMT55 exactly matches DTB SKU CMT55 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Direct Flusher - 2.5""",2.5DF,2.5DF,127.62,,127.62,"Columbia 2.5"" Direct Corner Flusher",2.5DF,https://www.all-wall.com/Columbia-DirectFlusher-25DF,,,127.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 2.5DF exactly matches DTB SKU 2.5DF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Direct Flusher - 3""",3DF,3DF,133.02,,133.02,"Columbia 3"" Direct Corner Flusher",3DF,https://www.all-wall.com/Columbia-DirectFlusher-3DF,,,130.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,BELOW_DTB_MAP,All-Wall displayed MPN 3DF exactly matches DTB SKU 3DF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Direct Flusher - 3"" Widetrack",3WTDF,3WTDF,140.60,,140.60,"Columbia 3"" Widetrack Direct Corner Flusher",3WTDF,https://www.all-wall.com/Columbia-DirectFlusher-3WTCF,,,140.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3WTDF exactly matches DTB SKU 3WTDF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Direct Flusher - 3.5""",3.5DF,3.5DF,146.00,,146.00,"Columbia 3.5"" Direct Corner Flusher",3.5DF,https://www.all-wall.com/Columbia-DirectFlusher-35DF,,,146,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,MATCHES_DTB_MAP,All-Wall displayed MPN 3.5DF exactly matches DTB SKU 3.5DF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Direct Flusher - 4""",4DF,4DF,151.41,,151.41,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Fat Boy Flat Box - 5.5""",5.5FBB,5.5FBB,384.39,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Fat Boy Flat Box - 8""",8FBB,8FBB,443.42,,443.42,"Columbia 8"" Fat Boy Flat Box",8FBB,https://www.all-wall.com/Columbia-FlatBox-8FBB,,,443.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 8FBB exactly matches DTB SKU 8FBB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Fat Boy Flat Box - 10""",10FBB,10FBB,454.23,,454.23,"Columbia 10"" Fat Boy Flat Box",10FBB,https://www.all-wall.com/Columbia-FlatBox-10FBB,,,454.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 10FBB exactly matches DTB SKU 10FBB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Fat Boy Flat Box - 12""",12FBB,12FBB,465.05,,465.05,"Columbia 12"" Fat Boy Flat Box",12FBB,https://www.all-wall.com/Columbia-FlatBox-12FBB,,,465.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 12FBB exactly matches DTB SKU 12FBB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 5.5""",5.5FFB,5.5FFB,367.71,,367.71,Columbia 5.5 Flat Finishing Box,5.5FFB,https://www.all-wall.com/Columbia-FlatBox-5-5,,,367.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 5.5FFB exactly matches DTB SKU 5.5FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 7""",7FFB,7FFB,378.53,,378.53,"Columbia 7"" Flat Finishing Box",7FFB,https://www.all-wall.com/Columbia-FlatBox-7FFB,,,378.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 7FFB exactly matches DTB SKU 7FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 8""",8FFB,8FFB,389.34,,389.34,"Columbia 8"" Flat Finishing Box",8FFB,https://www.all-wall.com/Columbia-FlatBox-8FFB,,,389.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 8FFB exactly matches DTB SKU 8FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 10""",10FFB,10FFB,400.16,,400.16,"Columbia 10"" Flat Finishing Box",10FFB,https://www.all-wall.com/Columbia-FlatBox-10FFB,,,400.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 10FFB exactly matches DTB SKU 10FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 12""",12FFB,12FFB,410.97,,410.97,"Columbia 12"" Flat Finishing Box",12FFB,https://www.all-wall.com/Columbia-FlatBox-12FFB,,,410.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 12FFB exactly matches DTB SKU 12FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Flat Finisher Box - 14""",14FFB,14FFB,421.79,,421.79,"Columbia 14"" Flat Finishing Box",14FFB,https://www.all-wall.com/Columbia-Flat-Box-14,,,421.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 14FFB exactly matches DTB SKU 14FFB after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Gooseneck - Standard,GN,GN,100.42,,,Columbia Taping Tools Gooseneck,GN,https://www.all-wall.com/Columbia-Taping-Tools-Gooseneck,,,108.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN GN exactly matches DTB SKU GN after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Gooseneck - Tall Boy,TBGN,TBGN,146.00,,146.00,Columbia Tall Boy Gooseneck,TBGN,https://www.all-wall.com/Columbia-Tall-Boy-Gooseneck,,,146,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,MATCHES_DTB_MAP,All-Wall displayed MPN TBGN exactly matches DTB SKU TBGN after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
