universal_part_id,canonical_name,part_family,thread,length,nominal_size,head_style,drive_style,material,confidence,status,brands,catalog_skus,source_audit_key,source_report,notes
BOLT-1-4-20-X-1-1-2,1/4-20 x 1-1/2 Bolt,bolt,1/4-20,1-1/2,,,unknown,unknown,medium,review,Columbia;Platinum,,bolt 1/4-20 x 1-1/2,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Keep review: schematic titles say hex bolt, but catalog SKU FA299 resolves to a pan Phillips part, so source evidence conflicts."
NUT-1-4-20-HEX,1/4-20 Hex Nut,nut,1/4-20,,,hex,,stainless,high,review,Columbia;TapeTech,CT109;FA291,nut 1/4-20 hex,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Keep review: occurrence titles mix plain hex, castle/slotted and heavy hex variants."
NUT-1-4-20-NYLON-LOCK,1/4-20 Nylon Lock Nut,nut,1/4-20,,,nylon lock,,nylon,high,active,Columbia;Platinum,FA347;FA290,nut 1/4-20 nylon lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate
NUT-10-24,10-24 Nut,nut,10-24,,,,,stainless,high,review,Asgard;Columbia;TapeTech,FA272,nut 10-24,products/Production/launch/universal_parts/references/universal_part_groups.csv,Keep review: occurrence titles mix standard 10-24 nut and 10-24 wing nut variants.
NUT-10-24-NYLON-LOCK,10-24 Nylon Lock Nut,nut,10-24,,,nylon lock,,nylon,high,active,Asgard;Columbia,FA271,nut 10-24 nylon lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate
NUT-10-32-LOCK,10-32 Lock Nut,nut,10-32,,,lock,,,high,active,Level5;Platinum,,nut 10-32 lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Promoted: all reviewed occurrences use exact #10-32 Lock Nut title across Level5 and Platinum flat-box schematics.
NUT-3-8-16-NYLON-LOCK,3/8-16 Nylon Lock Nut,nut,3/8-16,,,nylon lock,,nylon,high,active,Asgard;Columbia,FA358,nut 3/8-16 nylon lock,products/Production/launch/universal_parts/references/universal_part_groups.csv,Standard cross-brand nylon lock nut candidate with thin variant spot check required
NUT-4-40-HEX,4-40 Hex Nut,nut,4-40,,,hex,,stainless,high,active,Columbia;TapeTech,FA206;059005,nut 4-40 hex,products/Production/launch/universal_parts/references/universal_part_groups.csv,Standard cross-brand hex nut candidate
NUT-6-32-BRASS,6-32 Brass Nut,nut,6-32,,,hex,,brass,high,active,Asgard;TapeTech,209058,nut 6-32 brass,products/Production/launch/universal_parts/references/universal_part_groups.csv,Material is functionally relevant and retained in key
O-RING-5-32-ID-9-16-OD,5/32 ID x 9/16 OD x 1/16 Wide O-Ring,o-ring,,,5/32 ID x 9/16 OD x 1/16 wide,,,rubber,high,active,Asgard;TapeTech,,o-ring 5/32 id; 9/16 od,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: all reviewed occurrences include matching 5/32 ID, 9/16 OD and 1/16 width."
PIN-1-16-X-1-2-COTTER,1/16 x 1/2 Cotter Pin,pin,,1/2,1/16,cotter,,stainless,high,active,Columbia;TapeTech,FA202,pin 1/16 x 1/2 cotter,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact diameter, length and cotter-pin type match across Columbia catalog FA202 and TapeTech 059143 schematic evidence."
SCREW-1-4-20-X-2-HEX-HEAD,1/4-20 x 2 Hex Head Screw,screw,1/4-20,2,,hex,unknown,unknown,high,active,Asgard;Level5,,screw 1/4-20 x 2 hex head,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and hex-head/capscrew wording match across Asgard and Level5 schematic evidence."
SCREW-1-4-20-X-5-8-SOCKET-HEAD,1/4-20 x 5/8 Socket Head Screw,screw,1/4-20,5/8,,socket,socket,unknown,high,active,Asgard;Columbia;Level5,FA337,screw 1/4-20 x 5/8 socket head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-10-24-X-1-1-4-FILLISTER-HEAD,10-24 x 1-1/4 Fillister Head Screw,screw,10-24,1-1/4,,fillister,slot,unknown,high,active,Asgard;TapeTech,,screw 10-24 x 1-1/4 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,"Promoted: exact thread, length and fillister-head wording match across Asgard and TapeTech schematic evidence."
SCREW-10-32-X-1-2-BINDER-HEAD,10-32 x 1/2 Binder Head Screw,screw,10-32,1/2,,binder,unknown,unknown,high,active,Asgard;TapeTech,509008,screw 10-32 x 1/2 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong thread length and head candidate
SCREW-4-40-X-1-BINDER-HEAD,4-40 x 1 Binder Head Screw,screw,4-40,1,,binder,unknown,stainless,high,active,Asgard;TapeTech,219092,screw 4-40 x 1 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong thread length and head candidate
SCREW-4-40-X-1-2-FILLISTER-HEAD,4-40 x 1/2 Fillister Head Screw,screw,4-40,1/2,,fillister,slot,unknown,high,active,Columbia;TapeTech,FA219;FA21A,screw 4-40 x 1/2 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong thread length and head candidate
SCREW-4-40-X-1-4-BINDER-HEAD,4-40 x 1/4 Binder Head Screw,screw,4-40,1/4,,binder,unknown,stainless,high,active,Asgard;Columbia;Level5;TapeTech,FA213,screw 4-40 x 1/4 binder head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
SCREW-4-40-X-1-4-FILLISTER-HEAD,4-40 x 1/4 Fillister Head Screw,screw,4-40,1/4,,fillister,slot,stainless,high,active,Columbia;Level5;Platinum;TapeTech,FAZ10,screw 4-40 x 1/4 fillister head,products/Production/launch/universal_parts/references/universal_part_groups.csv,Strong cross-brand thread length and head candidate
